title,company,apply_link,company_location,company_city,company_country,job_description,job_date
Customer Support Engineer,Canonical,https://careers.gevernova.com/global/en/job/GVXGVWGLOBALR3782792EXTERNALENGLOBAL/Gas-Turbine-Performance-Testing-Engineer,"London, England",London,Canada,"Canonical is seeking a Customer Support Engineer to provide technical support for Ubuntu and other open-source software. The role involves troubleshooting, problem-solving, and ensuring customer satisfaction. Candidates should have experience with Linux, cloud computing, and open-source software.","March 27, 2025"
Energy Transition Analyst,DNV,https://careers.gevernova.com/global/en/job/GVXGVWGLOBALR3790525EXTERNALENGLOBAL/APAC-Decarbonization-Sales-Director-Power-Energy-Resources-Software,"Høvik, Norway",Høvik,Norway,"The Energy Transition Analyst will support the Energy Transition Outlook (ETO) team in delivering high-quality research and analysis on energy transition topics. Responsibilities include data analysis, report writing, and stakeholder engagement. The role requires a strong understanding of energy systems, excellent communication skills, and the ability to work independently and collaboratively.","March 27, 2025"
Lead Frontend Engineer,CSG,https://csgi.wd5.myworkdayjobs.com/en-US/CSGCareers/job/Indonesia-Remote/Lead-Frontend-Engineer_29068?remoteType=d0c4f782266d1000c2be6d47736a0000&locations=5b7d5da3e2551000cdb28ee56eb80000,United States,N/A,United States,"CSG is seeking a Lead Frontend Engineer to join their team in Indonesia. The role involves driving technical direction, mentoring the team, and collaborating on UI/UX solutions for the CSQ Quote & Order product. The position requires at least 7 years of experience in frontend development and offers benefits like medical insurance, work from home, and paid vacation.","March 27, 2025"
"Frontend Software Engineer | Product R&D, Innovation & Ownership",CSG,https://csgi.wd5.myworkdayjobs.com/en-US/CSGCareers/job/Indonesia-Remote/Frontend-Software-Engineer---Product-R-D--Innovation---Ownership_29189?remoteType=d0c4f782266d1000c2be6d47736a0000&locations=5b7d5da3e2551000cdb28ee56eb80000,United States,N/A,United States,"CSG is seeking a Frontend Software Engineer to join their team, focusing on product R&D, innovation, and ownership. The role involves using Angular, Web Components, and REST API, with a focus on building user-friendly UI/UX. Candidates should have 3+ years of experience in front-end development and a bachelor's degree in a related field.","March 27, 2025"
Senior Project Manager,GE Vernova,https://careers.gevernova.com/global/en/job/R5005800/Senior-Staff-Services-Project-Manager,"Cambridge, Massachusetts",Cambridge,Canada,"The Senior Project Manager is responsible for leading the implementation of software solutions for electric utilities. The role involves managing project scope, schedule, and budget, as well as coordinating with internal and external stakeholders. The position requires experience in project management, software implementation, and knowledge of electric utility operations.","March 27, 2025"
Junior Technical Support Specialist APAC,Wingtra,https://jobs.lever.co/wingtra-2/949984b5-3959-40ad-b739-03ea839d49b0,"Zurich, Switzerland",Zurich,Switzerland,"Join Wingtra as a Junior Technical Support Specialist in the APAC region, providing technical product consultancy and support. Responsibilities include leveraging drone workflow knowledge, effective communication, and using CRM tools like Hubspot. Requirements include a technical degree, geospatial industry experience, and English fluency.","March 27, 2025"
Senior Software Engineer,Shippit,https://www.linkedin.com/jobs/view/4188569321,Australia,N/A,Australia,Shippit is hiring a Senior Software Engineer to join their team. The role involves working on innovative solutions in the logistics and supply chain industry.,"March 27, 2025"
"Java Software Engineer | Product R&D, Innovation & Ownership",CSG,https://csgi.wd5.myworkdayjobs.com/en-US/CSGCareers/job/Indonesia-Remote/Java-Software-Engineer---Product-R-D--Innovation---Ownership_29137?remoteType=d0c4f782266d1000c2be6d47736a0000&locations=5b7d5da3e2551000cdb28ee56eb80000,United States,N/A,United States,"CSG is seeking a Java Software Engineer to join their team responsible for developing the CSQ Quote & Order platform. The role involves building new features, maintaining existing services, and collaborating with cross-functional teams. Candidates should have 3+ years of experience with Java SE (17+), and familiarity with tools like GitHub, Maven, Docker, and Kubernetes.","March 27, 2025"
"Lead Test Engineer | Product R&D, Innovation & Ownership",CSG,https://csgi.wd5.myworkdayjobs.com/en-US/CSGCareers/job/Indonesia-Remote/Lead-Test-Engineer---Product-R-D--Innovation---Ownership_29065?remoteType=d0c4f782266d1000c2be6d47736a0000&locations=5b7d5da3e2551000cdb28ee56eb80000,"Englewood, United States",Englewood,United States,"CSG is seeking a Lead Test Engineer to drive technical direction, mentor teams, and improve the quality of CSG's Quote & Order test automation. The role involves test automation, collaboration, and ensuring high-quality outcomes for customers. Benefits include flexible work arrangements and professional development opportunities.","March 27, 2025"
Product Operation Officer (Full Remote),Hangry,https://career.ishangry.com/job/376,Jakarta Barat,Jakarta Barat,Indonesia,"Manage POS and platform menus, consult with related parties, prepare performance reports, handle merchandise fulfillment, and address internal inquiries. Fresh graduates welcome.","March 25, 2025"
Data Engineer,Kindred,https://www.linkedin.com/jobs/view/4188124079,"Dubai, United Arab Emirates",Dubai,United Arab Emirates,"Kindred is seeking a Data Engineer to transform data into a force for good, supporting the company's cross-platform initiatives. The role involves working with data from 150,000+ daily active users.","March 23, 2025"
Ecosystem Specialist - APAC,GitLab,https://job-boards.greenhouse.io/gitlab/jobs/7858831002,"San Francisco, California, USA",San Francisco,Argentina,"GitLab is seeking an Ecosystem Specialist for the APAC region to manage partner and sales team relationships, provide operational support, and establish best practices to ensure GitLab's partner ecosystem remains efficient, scalable, and compliant. The role involves validating partner quote requests, managing relationships with global distributors, and developing partner processes.","March 20, 2025"
Senior Software Engineer (m/f/d),Ververica,https://apply.workable.com/ververica/j/4D10DC86F9/?utm_medium=social_share_link,"Berlin, Germany",Berlin,Germany,"As a Software Engineer at Ververica, you will solve challenging data engineering and stream processing problems, work on open-source and proprietary products, and contribute to the Apache Flink community. Requirements include expertise in Java, distributed systems, and data-intensive applications.","March 17, 2025"
Product Lead,Iterative,https://jobs.ashbyhq.com/iterative/079a27cf-717d-4f1a-91aa-3367879c6169,Singapore,Singapore,Singapore,"What You’ll Do:

The Product Lead will design, build, and scale products that drive value to founders and grow applications to our accelerator program.

Key responsibilities include:

Own and Improve Existing Products – Take over existing initiatives like Investor Directory and Co-Founder Matching, improving usability, engagement and impact.
Launch New Products – Lead the design, development, and launch of new products and features. Develop project specs and manage the roadmap to ensure successful execution.
Experiment and Iterate – Use no-code tools (e.g. Airtable, Zapier, Webflow, etc) to validate ideas quickly. Collect and analyse user feedback and data to continuously improve products and ensure they resonate with our audience.
Drive Growth – Lead initiatives to grow user adoption and engagement across products. Design and run growth experiments to identify the most effective methods for increasing product usage.
Identify Gaps and Opportunities – Research founder pain points and ecosystem inefficiencies. Propose and execute high-impact solutions, working with founders to ensure relevance and value.
Frameworks and Playbooks – Document your learnings to establish scalable processes for product discovery, development, and growth. Share insights with the broader team to enhance organisational learning.

Who You Are

We’re looking for candidates with the following characteristics:
Product Builder – You have experience building and launching products, MVPs, or tools that solve real-world problems. You’re familiar with the product lifecycle and can develop projects from concept to execution.
Execution-Oriented – You’re adept at balancing long-term vision with short-term execution. You effectively manage timelines, priorities, and resources to deliver successful outcomes.
Resourceful – You leverage no-code tools, creative problem-solving, and resourcefulness to move projects forward efficiently.
Data-Driven – You have a strong analytical mindset and use data and user feedback to refine product direction and drive continuous improvement.
Strong Communicator – You can effectively communicate the product roadmap and vision to stakeholders. You manage priorities, make trade-offs and build cross-team consensus to ensure alignment.
Self-Directed – You take ownership of projects, work independently, and ask for help when needed.
Comfortable with Ambiguity – You often work on projects with undefined parameters, requiring you to assess whether the initiative is worth pursuing, define success metrics, and navigate unknowns to bring ideas to life.
Curious and Experimental – You’re comfortable testing ideas, learning from failure, and pivoting when needed. You approach every project with a mindset of experimentation and continuous learning.
Startup-Focused – Experience as a founder or early team member is a plus. If you don’t have direct experience, you’re eager to learn and ready to dive into the Southeast Asia startup ecosystem.","March 17, 2025"
Software Engineer,FireCut,https://firecut.notion.site/Software-Engineer-Remote-ddf537c47a2f4b7fb2b4b8aacf5e903a,"London, United Kingdom",London,Canada,"What will I do in this role?

Key responsibilities of this role include

- Building something amazing!
- Feature development — you will work closely with the Founder of FireCut to develop new features in the FireCut plugin for Adobe Premiere Pro.
- Bug fixing — you will own the bug-fixing process end-to-end, which will involve reading customer feedback, recreating bugs and finding the root cause, fixing bugs in the code, etc.
- [Optional] Server management — you will own server uptime and take steps to optimize the server setup.
- [Optional] User communication — you will support the Founder in responding to user feedback and requests.

Who you are

- You are looking for that once-in-a-career opportunity where you can go from idea to shipped feature that’s in users’ hands in DAYS
- Working on the same problem for months / having little impact makes you want to flip a table
- You like to do programming projects in your spare time
- You are passionate about automating repetitive / manual tasks
- When working in a team, you take ownership of your work ( = you view yourself as the ultimate accountable person for your work, if something breaks on a weekend and your users are stranded you genuinely want to fix it ASAP)
- You are comfortable (what does this mean? some non-exhaustive guidance below…) with:
    - HTML.
    - TailwindCSS.
    - JavaScript.
    - Node.js.
    - [Optional] Python / Django.
    - [Optional] Linux, Nginx, Postgres.

Why are some things marked “optional”?

- The work is primarily front-end development, but depending on your experience and interests there is opportunity to help out with back-end as well as product management. We are a small team so, as you might expect, we wear many hats!

Who you are NOT (because this is not for everyone)

- You dislike the idea of grinding for a project in a startup environment
- You want a reliable 9-5 job with no risk and a reliable trajectory
- You prefer a manager to take the ultimate responsibility for decisions in your team

How do I apply?

- Send your CV/resume to [swe@firecut.ai](mailto:swe@firecut.ai)
- [Optional] Record a short video response to a prompt: https://forms.gle/eFBMEvDECZim1y4d7","March 17, 2025"
Senior Account Executive – APAC,Pitch,https://bird.com/en-us/careers/job?ashby_jid=668f98f8-f224-4f55-b8a6-97f184f6c0e0,"Berlin, Germany",Berlin,Germany,"Pitch is hiring Senior Account Executives for the APAC region to drive sales and expand their customer base. The role involves managing the entire sales cycle, building relationships, and achieving sales targets. Candidates should have experience in SaaS sales, excellent communication skills, and a track record of meeting sales goals.","March 15, 2025"
Account Executive - APAC,Attac,https://bird.com/en-us/careers/job?ashby_jid=757eadde-cb88-4952-934c-6333ae783277,"Los Altos, United States",Los Altos,United States,"Attac is seeking Account Executives for the APAC region to drive growth and manage client relationships. The role involves working with the sales team, developing strategies, and meeting sales targets. Candidates should have 3-5 years of experience in SaaS sales, strong communication skills, and a proven track record in sales.","March 15, 2025"
Cloud Support Engineer,Alex Solutions,https://www.linkedin.com/jobs/view/4122773041,Indonesia,N/A,Indonesia,"Join Alex Solutions to work on AI-driven innovation, integrating AI and GenAI across the product development lifecycle. The role involves leveraging AI for Natural Language Search, Enrichment, Classification, and Anomaly Detection.","March 13, 2025"
Full Stack Engineer,Alex Solutions,https://www.linkedin.com/jobs/view/4122772084,"Melbourne, Australia",Melbourne,Australia,"Join Alex Solutions to work on AI-driven innovation, integrating AI and GenAI across the product development lifecycle. Focus on Natural Language Search, Enrichment, Classification, and Anomaly Detection.","March 13, 2025"
Full-Stack Software Engineer,CoffeeSpace,https://www.linkedin.com/jobs/view/4181237772/,"San Francisco, California, United States",San Francisco,Argentina,"CoffeeSpace is a platform designed to help anyone build their early startup team. They are starting with cofounder matching, making it easier to find the right partners to build with, especially in today's rapidly evolving environment.","March 13, 2025"
Infrastructure Engineer-Level 2/Senior,fly.io,https://fly.io/jobs/infra-engineer/,"Chicago, United States",Chicago,United States,"At Fly.io, the infra ops team builds and maintains the platform and tooling that allow our product engineers to build some really amazing stuff for users. In particular, that means making it so that product teams (machines, managed postgres, proxy/networking, etc.) can operate the products they’re building well.

Some things you might work on:

Setting up and iterating on tooling for metrics/monitoring and alerting, so that product teams can reliably operate their products.
Writing lots of “glue” code integrating various tools in ways that are valuable (and easy to use) for product teams.
Piecing tools together in clever/new/interesting ways to solve product team needs.
Helping refine capacity planning, and automating quick burst capacity (for when our capacity planning isn’t quite right).
Building the underlying hosting infrastructure that allows product teams to run multi-tenant workloads without having to worry about individual hosts.
Responding to hardware failures, and interfacing with our provider to get hardware changed out as needed.
Making it easy and safe (and as automatic as possible) to make changes to critical system components (like upgrading the OS on our servers).
Working with our upstream providers to debug hairy networking issues.

This role will be a good fit for you if:

You’re good at figuring out what product teams really need in order to build and operate their products.
You know core infrastructure tech concepts and tools (linux, networking, etc.).
You’re good at debugging, figuring out weird stuff, picking up new tools and ways of doing things, and you can do it all under pressure.
You can work autonomously — you can look at a big problem, and figure out a small piece to work on next, without being told what to do, and you can see the long-term vision of where to go after that.
You are very effective at written communication. You can write concisely, focusing on the most important points, and you consider your audience.
You are good at sharing ownership and working on a team.
You move fast. This absolutely does not mean you over-work yourself (we want you to work normal human hours and take care of yourself), but it means that you’re decisive, work with purpose, and don’t let yourself get bogged down in less impactful work.

You’ll know you’re succeeding in your job if:

You’re always thinking about how folks on the product teams are using the tools you’re building, and what problem you’re solving for them.
Your solutions are broadly useful. You probably had one small initial use-case in mind, but the thing you built gets used again and again, by several different product teams.
Product teams at Fly.io are able to build new features fast on top of the infrastructure you’ve built.
Product teams at Fly.io are able to operate their products effectively. They know when their product is working (and when it’s not), and have the tools they need to quickly solve problems.","March 13, 2025"
UX Engineer - Senior,fly.io,https://fly.io/jobs/ux-engineer/,"Chicago, United States",Chicago,United States,"A UX engineer at Fly.io is a primarily an Elixir developer. The work is primarily front-end and interaction design.

But Fly.io isn’t primarily written in Elixir, and every decision we make from button sizes to distributed consensus algorithms is driven by user needs. 


What We’re Doing Now

We’ve got two big product pushes happening in 2025.

The first is MPG, our upcoming Managed Postgres offering. Managed databases let users create databases and then not worry about them. Databases are complicated: lots of knobs, lots of flashing lights. We need the knobs simplified and the lights curated, so that MPG is telling the story users need to here, and not confusing them with other stuff.

The second use case is LLM execution environments. A crazy thing happens when you give a hallucination-prone LLM access to a secure, ephemeral environment with which to actually compile and run code: the LLM actually gets good at coding. We’ve got a handle on the core engine of generating code and getting it to run safely. But what is the UX of that as a product? What does it mean to start a new LLM-driven project, and what does it mean for it to be finished, put into production, maintained, and extended? We’re looking for somebody with takes.

Seriously, This Is A Fussy Role

We’re not afraid to talk you out of it. You’d need to be:

Attuned to the needs of the kinds of users that ship things on public clouds. Check out our public community if you think that’s easy to do consistently.
Relentlessly focused on shipping. We work with 2-week horizons here; 6 months from now might as well be the year 3000.
Rock solid with Elixir/Phoenix. Unafraid of Go.
Able to keep a model in your head of ambitious features that are implemented across many layers of software, many of which you don’t own; you have to be willing to get your brain dirty.
To us, all these things that make this job complicated also make it interesting. If we’ve held your attention this far, let’s see if we can make something work.


The salary for this role is $190 to $225k USD, depending on level.

If you’re interested, mail jobs+ux@fly.io. You can tell us a bit about yourself, if you like. Please also include your location (country), and your Github username, for work sample access.","March 13, 2025"
Support Engineer - Level 2,fly.io,https://fly.io/jobs/support-engineer/,"Chicago, United States",Chicago,United States,"We’re looking for four Support Engineers: two based in EMEA/Asia timezones, and two for weekend coverage (Saturday - Wednesday).

About Us & About the Job

We’re a small, almost entirely technical team
Support engineers are experts in getting apps deployed on Fly and helping customers through tricky spots
We’re active in developer communities, including our own at community.fly.io
Clear written English communication is essential as all customer interaction is in writing
We’re remote with team members across multiple time zones and countries
We work in open channels with lots of public collaboration
Compensation is $134k USD plus equity, with health care for US employees, flexible vacation time, and hardware/phone allowances
This is a fully-remote, full-time position

What You’ll Do

Monitor and respond to support requests across multiple channels (email, community forums, Slack)
Troubleshoot a broad range of technical issues from deployment to networking
Triage problems and coordinate with other teams when needed
Provide clear, actionable steps for resolution
Create and maintain customer-facing documentation
Help customers become self-sufficient through education and resources
Contribute to community discussions and technical support threads
You’ll Be Good at This Job if You

Have software development experience and enjoy building applications
Are comfortable with technical troubleshooting and code review
Balance customer service with teaching independence
Enjoy solving complex technical problems
Can work without a standard playbook while helping create better processes
Are comfortable with asynchronous communication and independent work
You’ll Know You’re Succeeding in This Job If

Customers have clear expectations about support interactions
You can effectively triage between user-solvable and infrastructure issues
Your escalations to other teams are well-documented and actionable
You’re consistently converting support questions into documentation
The community benefits from your technical insights and troubleshooting

If you’re interested, mail jobs+supportengineer@fly.io. Please include:

Your Github username (for work sample repo access)
Your location/timezone
Which role you’re applying for (EMEA/Asia or weekend coverage)
A sentence about your favorite food (bot check)","March 13, 2025"
Platform Engineer: Proxy - Senior,fly.io,https://fly.io/jobs/platform-proxy/,"Chicago, United States",Chicago,United States,"We’re looking for engineers to join the team working on our Anycast network and its core component, fly-proxy.

What We’re Doing Now

There are two big projects happening with our network stack right now.

The first is regionalization. We’ve gotten as far as we’re going to get with a single flat global topology. The next iteration of our proxy architecture runs multiple Corrosion instances, for each region, and publishes summary information to the global cloud; for a deep-cut analogy, think of how OSPF does areas. This has profound implications on how our proxies handle things like balancing and fly-replay.

The second big project is evolving our private networking primitives. This will involve giving Fly Machines stable addresses that can be moved from hardware server to hardware server, and providing finer-grained access control, so that it’s even easier to run untrusted workloads on Fly Machines without having to do fiddly things inside of Fly Machines.

We think these are fun problems. We can’t promise they won’t be stressful problems. If that’s a kind of bittersweet you’re interested in, let’s see if we’d work well together.

The salary for this role is $190 to $225k USD, depending on level.


If you’re interested, mail jobs+platform-proxy@fly.io. You can tell us a bit about yourself, if you like. Please also include your location (country), and your Github username, for work sample access.","March 13, 2025"
Platform Engineer: Fly Machines - Senior,fly.io,https://fly.io/jobs/platform-machines/,"Chicago, United States",Chicago,United States,"We’re looking for engineers to join the team working on Fly Machines and their orchestrator, flyd.

What We’re Doing Now :

Fly Machines are making a beeline towards enabling two big internal use cases for us.

The first is MPG, our upcoming Managed Postgres offering. Being a platform for managed database means being good both at managing compute resources and, especially, storage — and we’re chasing down a bunch of interesting ideas there. But more than anything else it involves making machines move, and improving and tooling up machine migration so we can transparently shuffle workloads.

The second use case is LLM execution environments. A crazy thing happens when you give a hallucination-prone LLM access to a secure, ephemeral environment with which to actually compile and run code: the LLM actually gets good at coding. Making this work well for customers means giving Fly Machines safe access to APIs and secrets without exposing them to untrusted code, and managing gigantic pools of machines.

We think these are fun problems. We can’t promise they won’t be stressful problems. If that’s a kind of bittersweet you’re interested in, let’s see if we’d work well together.

The salary for this role is $190 to $225k USD, depending on level.

If you’re interested, mail jobs+platform-machines@fly.io. You can tell us a bit about yourself, if you like. Please also include your location (country), and your Github username, for work sample access.","March 13, 2025"
