title,company,apply_link,company_location,company_city,company_country,job_description,job_date,,,,,,,
Customer Support Engineer,Canonical,https://careers.gevernova.com/global/en/job/GVXGVWGLOBALR3782792EXTERNALENGLOBAL/Gas-Turbine-Performance-Testing-Engineer,"London, England",London,Canada,"Canonical is seeking a Customer Support Engineer to provide technical support for Ubuntu and other open-source software. The role involves troubleshooting, problem-solving, and ensuring customer satisfaction. Candidates should have experience with Linux, cloud computing, and open-source software.",27-Mar-25,27/03/2025,,WHEN id = 11 THEN '27/03/2025',,,,11
Energy Transition Analyst,DNV,https://careers.gevernova.com/global/en/job/GVXGVWGLOBALR3790525EXTERNALENGLOBAL/APAC-Decarbonization-Sales-Director-Power-Energy-Resources-Software,"Høvik, Norway",Høvik,Norway,"The Energy Transition Analyst will support the Energy Transition Outlook (ETO) team in delivering high-quality research and analysis on energy transition topics. Responsibilities include data analysis, report writing, and stakeholder engagement. The role requires a strong understanding of energy systems, excellent communication skills, and the ability to work independently and collaboratively.",27-Mar-25,27/03/2025,,WHEN id = 12 THEN '27/03/2025',,,,12
Lead Frontend Engineer,CSG,https://csgi.wd5.myworkdayjobs.com/en-US/CSGCareers/job/Indonesia-Remote/Lead-Frontend-Engineer_29068?remoteType=d0c4f782266d1000c2be6d47736a0000&locations=5b7d5da3e2551000cdb28ee56eb80000,United States,N/A,United States,"CSG is seeking a Lead Frontend Engineer to join their team in Indonesia. The role involves driving technical direction, mentoring the team, and collaborating on UI/UX solutions for the CSQ Quote & Order product. The position requires at least 7 years of experience in frontend development and offers benefits like medical insurance, work from home, and paid vacation.",27-Mar-25,27/03/2025,,WHEN id = 13 THEN '27/03/2025',,,,13
"Frontend Software Engineer | Product R&D, Innovation & Ownership",CSG,https://csgi.wd5.myworkdayjobs.com/en-US/CSGCareers/job/Indonesia-Remote/Frontend-Software-Engineer---Product-R-D--Innovation---Ownership_29189?remoteType=d0c4f782266d1000c2be6d47736a0000&locations=5b7d5da3e2551000cdb28ee56eb80000,United States,N/A,United States,"CSG is seeking a Frontend Software Engineer to join their team, focusing on product R&D, innovation, and ownership. The role involves using Angular, Web Components, and REST API, with a focus on building user-friendly UI/UX. Candidates should have 3+ years of experience in front-end development and a bachelor's degree in a related field.",27-Mar-25,27/03/2025,,WHEN id = 14 THEN '27/03/2025',,,,14
Senior Project Manager,GE Vernova,https://careers.gevernova.com/global/en/job/R5005800/Senior-Staff-Services-Project-Manager,"Cambridge, Massachusetts",Cambridge,Canada,"The Senior Project Manager is responsible for leading the implementation of software solutions for electric utilities. The role involves managing project scope, schedule, and budget, as well as coordinating with internal and external stakeholders. The position requires experience in project management, software implementation, and knowledge of electric utility operations.",27-Mar-25,27/03/2025,,WHEN id = 15 THEN '27/03/2025',,,,15
Junior Technical Support Specialist APAC,Wingtra,https://jobs.lever.co/wingtra-2/949984b5-3959-40ad-b739-03ea839d49b0,"Zurich, Switzerland",Zurich,Switzerland,"Join Wingtra as a Junior Technical Support Specialist in the APAC region, providing technical product consultancy and support. Responsibilities include leveraging drone workflow knowledge, effective communication, and using CRM tools like Hubspot. Requirements include a technical degree, geospatial industry experience, and English fluency.",27-Mar-25,27/03/2025,,WHEN id = 16 THEN '27/03/2025',,,,16
Senior Software Engineer,Shippit,https://www.linkedin.com/jobs/view/4188569321,Australia,N/A,Australia,Shippit is hiring a Senior Software Engineer to join their team. The role involves working on innovative solutions in the logistics and supply chain industry.,27-Mar-25,27/03/2025,,WHEN id = 17 THEN '27/03/2025',,,,17
"Java Software Engineer | Product R&D, Innovation & Ownership",CSG,https://csgi.wd5.myworkdayjobs.com/en-US/CSGCareers/job/Indonesia-Remote/Java-Software-Engineer---Product-R-D--Innovation---Ownership_29137?remoteType=d0c4f782266d1000c2be6d47736a0000&locations=5b7d5da3e2551000cdb28ee56eb80000,United States,N/A,United States,"CSG is seeking a Java Software Engineer to join their team responsible for developing the CSQ Quote & Order platform. The role involves building new features, maintaining existing services, and collaborating with cross-functional teams. Candidates should have 3+ years of experience with Java SE (17+), and familiarity with tools like GitHub, Maven, Docker, and Kubernetes.",27-Mar-25,27/03/2025,,WHEN id = 18 THEN '27/03/2025',,,,18
"Lead Test Engineer | Product R&D, Innovation & Ownership",CSG,https://csgi.wd5.myworkdayjobs.com/en-US/CSGCareers/job/Indonesia-Remote/Lead-Test-Engineer---Product-R-D--Innovation---Ownership_29065?remoteType=d0c4f782266d1000c2be6d47736a0000&locations=5b7d5da3e2551000cdb28ee56eb80000,"Englewood, United States",Englewood,United States,"CSG is seeking a Lead Test Engineer to drive technical direction, mentor teams, and improve the quality of CSG's Quote & Order test automation. The role involves test automation, collaboration, and ensuring high-quality outcomes for customers. Benefits include flexible work arrangements and professional development opportunities.",27-Mar-25,27/03/2025,,WHEN id = 19 THEN '27/03/2025',,,,19
Product Operation Officer (Full Remote),Hangry,https://career.ishangry.com/job/376,Jakarta Barat,Jakarta Barat,Indonesia,"Manage POS and platform menus, consult with related parties, prepare performance reports, handle merchandise fulfillment, and address internal inquiries. Fresh graduates welcome.",25-Mar-25,25/03/2025,,WHEN id = 20 THEN '25/03/2025',,,,20
Data Engineer,Kindred,https://www.linkedin.com/jobs/view/4188124079,"Dubai, United Arab Emirates",Dubai,United Arab Emirates,"Kindred is seeking a Data Engineer to transform data into a force for good, supporting the company's cross-platform initiatives. The role involves working with data from 150,000+ daily active users.",23-Mar-25,23/03/2025,,WHEN id = 21 THEN '23/03/2025',,,,21
Ecosystem Specialist - APAC,GitLab,https://job-boards.greenhouse.io/gitlab/jobs/7858831002,"San Francisco, California, USA",San Francisco,Argentina,"GitLab is seeking an Ecosystem Specialist for the APAC region to manage partner and sales team relationships, provide operational support, and establish best practices to ensure GitLab's partner ecosystem remains efficient, scalable, and compliant. The role involves validating partner quote requests, managing relationships with global distributors, and developing partner processes.",20-Mar-25,20/03/2025,,WHEN id = 22 THEN '20/03/2025',,,,22
Senior Software Engineer (m/f/d),Ververica,https://apply.workable.com/ververica/j/4D10DC86F9/?utm_medium=social_share_link,"Berlin, Germany",Berlin,Germany,"As a Software Engineer at Ververica, you will solve challenging data engineering and stream processing problems, work on open-source and proprietary products, and contribute to the Apache Flink community. Requirements include expertise in Java, distributed systems, and data-intensive applications.",17-Mar-25,17/03/2025,,WHEN id = 23 THEN '17/03/2025',,,,23
Product Lead,Iterative,https://jobs.ashbyhq.com/iterative/079a27cf-717d-4f1a-91aa-3367879c6169,Singapore,Singapore,Singapore,,17-Mar-25,17/03/2025,,WHEN id = 24 THEN '17/03/2025',,,,24
Software Engineer,FireCut,https://firecut.notion.site/Software-Engineer-Remote-ddf537c47a2f4b7fb2b4b8aacf5e903a,"London, United Kingdom",London,Canada,,17-Mar-25,17/03/2025,,WHEN id = 25 THEN '17/03/2025',,,,25
Senior Account Executive – APAC,Pitch,https://bird.com/en-us/careers/job?ashby_jid=668f98f8-f224-4f55-b8a6-97f184f6c0e0,"Berlin, Germany",Berlin,Germany,"Pitch is hiring Senior Account Executives for the APAC region to drive sales and expand their customer base. The role involves managing the entire sales cycle, building relationships, and achieving sales targets. Candidates should have experience in SaaS sales, excellent communication skills, and a track record of meeting sales goals.",15-Mar-25,15/03/2025,,WHEN id = 26 THEN '15/03/2025',,,,26
Account Executive - APAC,Attac,https://bird.com/en-us/careers/job?ashby_jid=757eadde-cb88-4952-934c-6333ae783277,"Los Altos, United States",Los Altos,United States,"Attac is seeking Account Executives for the APAC region to drive growth and manage client relationships. The role involves working with the sales team, developing strategies, and meeting sales targets. Candidates should have 3-5 years of experience in SaaS sales, strong communication skills, and a proven track record in sales.",15-Mar-25,15/03/2025,,WHEN id = 27 THEN '15/03/2025',,,,27
Cloud Support Engineer,Alex Solutions,https://www.linkedin.com/jobs/view/4122773041,Indonesia,N/A,Indonesia,"Join Alex Solutions to work on AI-driven innovation, integrating AI and GenAI across the product development lifecycle. The role involves leveraging AI for Natural Language Search, Enrichment, Classification, and Anomaly Detection.",13-Mar-25,13/03/2025,,WHEN id = 28 THEN '13/03/2025',,,,28
Full Stack Engineer,Alex Solutions,https://www.linkedin.com/jobs/view/4122772084,"Melbourne, Australia",Melbourne,Australia,"Join Alex Solutions to work on AI-driven innovation, integrating AI and GenAI across the product development lifecycle. Focus on Natural Language Search, Enrichment, Classification, and Anomaly Detection.",13-Mar-25,13/03/2025,,WHEN id = 29 THEN '13/03/2025',,,,29
Full-Stack Software Engineer,CoffeeSpace,https://www.linkedin.com/jobs/view/4181237772/,"San Francisco, California, United States",San Francisco,Argentina,"CoffeeSpace is a platform designed to help anyone build their early startup team. They are starting with cofounder matching, making it easier to find the right partners to build with, especially in today's rapidly evolving environment.",13-Mar-25,13/03/2025,,WHEN id = 30 THEN '13/03/2025',,,,30
Infrastructure Engineer-Level 2/Senior,fly.io,https://fly.io/jobs/infra-engineer/,"Chicago, United States",Chicago,United States,"At Fly.io, the infra ops team builds and maintains the platform and tooling that allow our product engineers to build some really amazing stuff for users. In particular, that means making it so that product teams (machines, managed postgres, proxy/networking, etc.) can operate the products they’re building well.

Some things you might work on:

Setting up and iterating on tooling for metrics/monitoring and alerting, so that product teams can reliably operate their products.
Writing lots of “glue” code integrating various tools in ways that are valuable (and easy to use) for product teams.
Piecing tools together in clever/new/interesting ways to solve product team needs.
Helping refine capacity planning, and automating quick burst capacity (for when our capacity planning isn’t quite right).
Building the underlying hosting infrastructure that allows product teams to run multi-tenant workloads without having to worry about individual hosts.
Responding to hardware failures, and interfacing with our provider to get hardware changed out as needed.
Making it easy and safe (and as automatic as possible) to make changes to critical system components (like upgrading the OS on our servers).
Working with our upstream providers to debug hairy networking issues.

This role will be a good fit for you if:

You’re good at figuring out what product teams really need in order to build and operate their products.
You know core infrastructure tech concepts and tools (linux, networking, etc.).
You’re good at debugging, figuring out weird stuff, picking up new tools and ways of doing things, and you can do it all under pressure.
You can work autonomously — you can look at a big problem, and figure out a small piece to work on next, without being told what to do, and you can see the long-term vision of where to go after that.
You are very effective at written communication. You can write concisely, focusing on the most important points, and you consider your audience.
You are good at sharing ownership and working on a team.
You move fast. This absolutely does not mean you over-work yourself (we want you to work normal human hours and take care of yourself), but it means that you’re decisive, work with purpose, and don’t let yourself get bogged down in less impactful work.

You’ll know you’re succeeding in your job if:

You’re always thinking about how folks on the product teams are using the tools you’re building, and what problem you’re solving for them.
Your solutions are broadly useful. You probably had one small initial use-case in mind, but the thing you built gets used again and again, by several different product teams.
Product teams at Fly.io are able to build new features fast on top of the infrastructure you’ve built.
Product teams at Fly.io are able to operate their products effectively. They know when their product is working (and when it’s not), and have the tools they need to quickly solve problems.",13-Mar-25,13/03/2025,,WHEN id = 31 THEN '13/03/2025',,,,31
UX Engineer - Senior,fly.io,https://fly.io/jobs/ux-engineer/,"Chicago, United States",Chicago,United States,,13-Mar-25,13/03/2025,,WHEN id = 32 THEN '13/03/2025',,,,32
Support Engineer - Level 2,fly.io,https://fly.io/jobs/support-engineer/,"Chicago, United States",Chicago,United States,"We’re looking for four Support Engineers: two based in EMEA/Asia timezones, and two for weekend coverage (Saturday - Wednesday).

About Us & About the Job

We’re a small, almost entirely technical team
Support engineers are experts in getting apps deployed on Fly and helping customers through tricky spots
We’re active in developer communities, including our own at community.fly.io
Clear written English communication is essential as all customer interaction is in writing
We’re remote with team members across multiple time zones and countries
We work in open channels with lots of public collaboration
Compensation is $134k USD plus equity, with health care for US employees, flexible vacation time, and hardware/phone allowances
This is a fully-remote, full-time position

What You’ll Do

Monitor and respond to support requests across multiple channels (email, community forums, Slack)
Troubleshoot a broad range of technical issues from deployment to networking
Triage problems and coordinate with other teams when needed
Provide clear, actionable steps for resolution
Create and maintain customer-facing documentation
Help customers become self-sufficient through education and resources
Contribute to community discussions and technical support threads
You’ll Be Good at This Job if You

Have software development experience and enjoy building applications
Are comfortable with technical troubleshooting and code review
Balance customer service with teaching independence
Enjoy solving complex technical problems
Can work without a standard playbook while helping create better processes
Are comfortable with asynchronous communication and independent work
You’ll Know You’re Succeeding in This Job If

Customers have clear expectations about support interactions
You can effectively triage between user-solvable and infrastructure issues
Your escalations to other teams are well-documented and actionable
You’re consistently converting support questions into documentation
The community benefits from your technical insights and troubleshooting

If you’re interested, mail jobs+supportengineer@fly.io. Please include:

Your Github username (for work sample repo access)
Your location/timezone
Which role you’re applying for (EMEA/Asia or weekend coverage)
A sentence about your favorite food (bot check)",13-Mar-25,13/03/2025,,WHEN id = 33 THEN '13/03/2025',,,,33
Platform Engineer: Proxy - Senior,fly.io,https://fly.io/jobs/platform-proxy/,"Chicago, United States",Chicago,United States,"We’re looking for engineers to join the team working on our Anycast network and its core component, fly-proxy.

What We’re Doing Now

There are two big projects happening with our network stack right now.

The first is regionalization. We’ve gotten as far as we’re going to get with a single flat global topology. The next iteration of our proxy architecture runs multiple Corrosion instances, for each region, and publishes summary information to the global cloud; for a deep-cut analogy, think of how OSPF does areas. This has profound implications on how our proxies handle things like balancing and fly-replay.

The second big project is evolving our private networking primitives. This will involve giving Fly Machines stable addresses that can be moved from hardware server to hardware server, and providing finer-grained access control, so that it’s even easier to run untrusted workloads on Fly Machines without having to do fiddly things inside of Fly Machines.

We think these are fun problems. We can’t promise they won’t be stressful problems. If that’s a kind of bittersweet you’re interested in, let’s see if we’d work well together.

The salary for this role is $190 to $225k USD, depending on level.


If you’re interested, mail jobs+platform-proxy@fly.io. You can tell us a bit about yourself, if you like. Please also include your location (country), and your Github username, for work sample access.",13-Mar-25,13/03/2025,,WHEN id = 34 THEN '13/03/2025',,,,34
Platform Engineer: Fly Machines - Senior,fly.io,https://fly.io/jobs/platform-machines/,"Chicago, United States",Chicago,United States,"We’re looking for engineers to join the team working on Fly Machines and their orchestrator, flyd.

What We’re Doing Now :

Fly Machines are making a beeline towards enabling two big internal use cases for us.

The first is MPG, our upcoming Managed Postgres offering. Being a platform for managed database means being good both at managing compute resources and, especially, storage — and we’re chasing down a bunch of interesting ideas there. But more than anything else it involves making machines move, and improving and tooling up machine migration so we can transparently shuffle workloads.

The second use case is LLM execution environments. A crazy thing happens when you give a hallucination-prone LLM access to a secure, ephemeral environment with which to actually compile and run code: the LLM actually gets good at coding. Making this work well for customers means giving Fly Machines safe access to APIs and secrets without exposing them to untrusted code, and managing gigantic pools of machines.

We think these are fun problems. We can’t promise they won’t be stressful problems. If that’s a kind of bittersweet you’re interested in, let’s see if we’d work well together.

The salary for this role is $190 to $225k USD, depending on level.

If you’re interested, mail jobs+platform-machines@fly.io. You can tell us a bit about yourself, if you like. Please also include your location (country), and your Github username, for work sample access.",13-Mar-25,13/03/2025,,WHEN id = 35 THEN '13/03/2025',,,,35
"Fullstack Developer  - Al & Software Projects (Remote, Indonesia)",BatamOn.asia,http://bit.ly/ApplyGlobalJobNow,"Batam, Indonesia",Batam,Indonesia,"BatamOn.asia is seeking an experienced Fullstack Developer (AI Integration). Key responsibilities include building dynamic UIs (React/Vue.js), developing backend services (Python/Node.js), integrating AI models, and ensuring secure, high-performance architectures.

Roles and Responsibilities:
• ﻿﻿Design, develop, and maintain fullstack web applications with seamless frontend-backend integration to support Al-driven products.
• ﻿﻿Build dynamic, responsive Uls using React or Vue.js while collaborating with UI/UX teams for intuitive user experiences.
• ﻿﻿Develop and optimize backend services using Python or Node.js, ensuring efficient database management and secure architectures.
• ﻿﻿Integrate Al models into applications, enhancing performance, reliability, and alignment with business needs.
• ﻿﻿Develop and maintain RESTful APls and microservices with a focus on security, modularity, and high performance.
• ﻿﻿Ensure code quality through unit testing, CI/CD pipelines, rigorous code reviews, and performance optimization techniques.
• ﻿﻿Monitor production systems, troubleshoot issues, and implement fixes while continuously improving codebases.
• ﻿﻿Stay updated on fullstack development, Al advancements, and emerging technologies to drive innovation and efficiency.

Requirements:
• ﻿﻿5+ years of fullstack development experience with Al integration, delivering end-to-end web applications.
• ﻿﻿Expertise in React, Vue.js, Python, Node.js, PHP, SQL, and NoSQL databases, ensuring seamless frontend-backend development.
• ﻿﻿Skilled in Al model integration, leveraging frameworks, libraries, and Al tools like ChatGPT and GitHub Copilot.
• ﻿﻿Strong knowledge of RESTful APls, microservices, cloud platforms (AWS, Azure, GCP), and containerization with Docker and Kubernetes.
• ﻿﻿Proven ability to optimize performance, scalability, and reliability while excelling in remote collaboration and agile workflows.",11-Mar-25,11/03/2025,,WHEN id = 36 THEN '11/03/2025',,,,36
"Al Workflow/Automation/Solutions Engineer (Remote, Indonesia)",BatamOn.asia,http://bit.ly/ApplyGlobalJobNow,"Batam, Indonesia",Batam,Indonesia,"BatamOn.asia is seeking an Al Workflow/Automation/Solutions Engineer to design, build, and optimize AI-driven automated workflowsusing platforms like n8n, Latenode, and Zapier.

Roles and Responsibilities:
• ﻿﻿Design and build automated workflows integrating Al-driven solutions to optimize business processes and handle operational tasks.
• ﻿﻿Use platforms like n8n, Latenode, or Zapier to create scalable automation solutions and integrate applications and APIs for seamless data flow.
• ﻿﻿Collaborate with teams to identify automation opportunities and convert business objectives into technical Al and automation solutions.
• ﻿﻿Monitor automated workflows for performance, diagnose issues, and resolve them quickly to ensure system stability.
• ﻿﻿Refine automation pipelines for efficiency and scalability, and maintain detailed technical documentation and workflow diagrams.
• ﻿﻿Stay updated on Al and automation trends, propose innovative solutions, and work with stakeholders to meet project goals across teams.

Requirements:
• ﻿﻿At least 5 years in workflow automation and Al solutions engineering, with familiarity in agentic Al methodologies a plus.
• ﻿﻿Strong in scripting languages (e.g., Python, JavaScript), AP| integrations, and data processing. Experience with Al tools for task management.
• ﻿﻿Proficient in workflow automation platforms like Zapier, Latenode, or n8n, and Al-based tools like ChatGPT and GitHub Copilot.
• ﻿﻿Excellent at assessing business processes, troubleshooting, and implementing long-term solutions.
• ﻿﻿Strong communication skills, effective collaboration with remote teams, and ability to adapt to evolving Al and automation technologies.
• ﻿﻿Comfortable with performance-based compensation, meeting deadlines, and working independently in a remote environment.",11-Mar-25,11/03/2025,,WHEN id = 37 THEN '11/03/2025',,,,37
"Business Development Executive (Remote, Indonesia)",BatamOn.asia,http://bit.ly/ApplyGlobalJobNow,"Batam, Indonesia",Batam,Indonesia,"BatamOn.asia is seeking a Business Development Executive to explore new market opportunities, build strategic partnerships, and drive growth in key regions like Singapore, Hong Kong, New York, and Dubai.

Roles and Responsibilities:
• ﻿﻿Research new business opportunities and develop strategies for key markets like Singapore, Hong Kong, New York, and Dubai.
• ﻿﻿Analyze trends, competitors, and customer needs to guide decision-making on Al and technology solutions.
• ﻿﻿Nurture relationships with vendors and referral partners, ensuring a consistent lead flow and meeting sales targets.
• ﻿﻿Assist in creating proposals and coordinating with cross-functional teams to align with client needs.
• ﻿﻿Support negotiations and structuring deals with vendors, setting clear milestones and performance metrics.
• ﻿﻿Represent the company at events and provide insights to adjust strategies based on business performance.
Requirements:
• ﻿﻿At least 4 years in business development within the technology or software sector, with knowledge of Al solutions preferred.
• ﻿﻿Experience developing strategies for international markets like Singapore, Hong Kong, New York, and Dubai, with an understanding of regional cultural and regulatory nuances.
• ﻿﻿Exceptional verbal and written skills, able to explain complex Al concepts clearly. Proven ability to build and maintain relationships with partners and clients.
• ﻿﻿Skilled in market research and data analytics, leveraging Al tools for operational support and business strategies.
• ﻿﻿Highly self-driven and adaptable in fast-paced, remote environments, meeting business targets and deadlines.
• ﻿﻿Track record of meeting ambitious sales and partnership goals, comfortable working within a performance-based compensation model.",11-Mar-25,11/03/2025,,WHEN id = 38 THEN '11/03/2025',,,,38
